Date,Name,Address,City,State,Zip,AOR,Type Detailed,Male/Female,FY25 ALOS,Level A,Level B,Level C,Level D,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,ICE Threat Level 1,ICE Threat Level 2,ICE Threat Level 3,No ICE Threat Level,Mandatory,Guaranteed Minimum,Last Inspection Type,Last Inspection End Date,Pending FY25 Inspection,Last Inspection Standard,Last Final Rating
2025-07-07,PRINCE EDWARD COUNTY (FARMVILLE),508 WATERWORKS ROAD,FARMVILLE,VA,23901,WAS,DIGSA,Male,45.568059,161.103943,86.250896,144.673835,134.143369,284.774194,240.878136,0.261649,0.258065,65.501792,24.154122,30.261649,406.254480,362.250896,459,ODO,12/19/2024,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,FLORENCE STAGING FACILITY,3250 NORTH PINAL PARKWAY,FLORENCE,AZ,85232,PHO,STAGING,Male,2.035992,86.544803,35.057348,29.620072,13.956989,60.218638,98.724014,2.462366,3.774194,3.974910,2.885305,3.121864,155.197133,127.064516,,ODO,6/13/2024,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,GEAUGA COUNTY JAIL,12450 MERRITT DR,CHARDON,OH,44024,DET,USMS IGA,Female/Male,46.582781,21.903226,9.881720,5.827957,2.243728,14.268817,17.720430,1.060932,6.806452,1.946237,2.258065,2.003584,33.648746,32.605735,,ODO,1/30/2025,,NDS 2019,Pass
2025-07-07,GRAND FORKS COUNTY CORRECTIONAL FACILITY,1701 NORTH WASHINGTON ST,GRAND FORKS,ND,58203,SPM,USMS IGA,Female/Male,5.501931,0.480287,0.813620,2.967742,0.103943,1.978495,2.301075,0.039427,0.046595,0.064516,0.057348,0.050179,4.193548,3.258065,,ODO,7/11/2024,Scheduled,NDS 2019,Pass
2025-07-07,GLADES COUNTY DETENTION CENTER,1297 EAST SR 78,MOORE HAVEN,FL,33471,MIA,IGSA,Female/Male,16.756036,16.645161,5.258065,19.899642,20.648746,34.548387,27.637993,0.265233,0.000000,7.250896,3.440860,3.089606,48.670251,44.458781,500,ODO,,,NDS 2019,Pass
2025-07-07,GOLDEN STATE ANNEX,611 FRONTAGE RD,MCFARLAND,CA,93250,SFR,CDF,Female/Male,83.026070,205.838710,66.824373,129.971326,172.605735,292.415771,282.681004,0.000000,0.143369,129.648746,22.014337,13.982079,409.594982,353.430108,560,ODO,1/30/2025,,PBNDS 2011 - 2016 Revised,Pass
2025-07-07,GRAYSON COUNTY JAIL,320 SHAW STATION ROAD,LEITCHFIELD,KY,42754,CHI,USMS IGA,Female/Male,13.222222,22.745520,5.505376,13.143369,4.913978,4.580645,1.878136,15.379928,24.469534,5.655914,3.422939,3.853047,33.376344,33.784946,,ODO,8/22/2024,,NDS 2019,Pass
2025-07-07,GREENE COUNTY JAIL,1199 N HASELTINE RD,SPRINGFIELD,MO,65802,CHI,USMS IGA,Female/Male,20.869456,41.150538,12.939068,29.695341,19.831541,47.544803,46.688172,2.724014,6.659498,10.333333,4.107527,3.584229,85.591398,87.426523,,,,,,
2025-07-07,JTF CAMP SIX,AVENUE C PSC 1005 BOX 55,FPO,FL,34009,MIA,DOD,,9.922190,0.774194,0.544803,5.512545,7.297491,7.899642,6.229391,0.000000,0.000000,4.157706,1.569892,1.136201,7.265233,14.129032,,,,,,
2025-07-07,MIGRANT OPS CENTER MAIN A,AVENUE C PSC 1005 BOX 55,FPO,FL,34009,MIA,MOC,,12.084615,10.236559,1.211470,0.107527,0.025090,1.247312,10.333333,0.000000,0.000000,0.003584,0.218638,0.845878,10.512545,11.580645,,,,,,
2025-07-07,DEPARTMENT OF CORRECTIONS HAGATNA,203 ASPINAL AVE. PO BOX 3236,HAGATNA,GU,96910,SFR,USMS IGA,Female/Male,41.804878,0.000000,2.555556,2.849462,0.501792,4.448029,1.455197,0.003584,0.000000,3.179211,0.666667,0.508961,1.551971,5.569892,,ORSA,3/24/2024,Scheduled,ORSA NDS 2019,Pending Final Report
2025-07-07,HARDIN COUNTY JAIL,1116 14TH AVENUE,ELDORA,IA,50627,SPM,IGSA,Female/Male,17.370968,0.921147,1.465950,2.630824,0.394265,2.942652,1.838710,0.096774,0.534050,0.670251,0.498208,0.501792,3.741935,4.211470,,,,,,
2025-07-07,HANCOCK COUNTY PUBLIC SAFETY COMPLEX,8450 HIGHWAY 90,BAY ST. LOUIS,MS,39520,NOL,IGSA,Female/Male,1.967975,8.512545,5.046595,3.677419,1.064516,4.795699,11.415771,0.318996,1.770609,0.068100,0.154122,0.064516,18.014337,13.652330,,ODO,5/8/2025,,NDS 2019,Pass
2025-07-07,HENDERSON DETENTION,18 E BASIC ROAD,HENDERSON,NV,89015,SLC,USMS IGA,Female/Male,22.951923,13.534050,21.394265,21.594982,9.111111,34.301075,16.888889,8.598566,5.845878,11.082437,6.738351,5.505376,42.308244,54.107527,,ODO,3/21/2024,Scheduled,NDS 2019,Pass
